2024-12-01 11:12:58.098 +07:00 [WRN] Failed to determine the https port for redirect.
2024-12-01 11:12:58.309 +07:00 [INF] HTTP GET /api/auth/online responded 200 in 130.7661 ms
2024-12-01 11:13:09.744 +07:00 [INF] HTTP GET /api/auth/online responded 200 in 7.2178 ms
2024-12-01 11:13:12.624 +07:00 [INF] HTTP GET /api/auth/online responded 200 in 2.6787 ms
2024-12-01 11:13:18.011 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.6005 ms
2024-12-01 11:13:23.638 +07:00 [INF] HTTP GET /api/auth/online responded 200 in 0.7981 ms
2024-12-01 11:13:28.015 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.0508 ms
2024-12-01 11:13:29.034 +07:00 [INF] HTTP GET /api/auth/online responded 200 in 0.3063 ms
2024-12-01 11:13:31.979 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.0475 ms
2024-12-01 11:13:33.285 +07:00 [INF] HTTP GET /api/auth/online responded 200 in 0.3336 ms
2024-12-01 11:13:35.578 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.2854 ms
2024-12-01 11:13:38.260 +07:00 [INF] HTTP GET /api/auth/online responded 200 in 0.5647 ms
2024-12-01 11:13:38.486 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.0829 ms
2024-12-01 11:13:42.486 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.0266 ms
2024-12-01 11:13:46.482 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.0654 ms
2024-12-01 11:13:48.486 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.1092 ms
2024-12-01 11:13:52.479 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.0813 ms
2024-12-01 11:13:56.487 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.0867 ms
2024-12-01 11:13:58.486 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.0322 ms
2024-12-01 11:14:02.479 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.0256 ms
2024-12-01 11:14:06.480 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.0798 ms
2024-12-01 11:14:08.477 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.0392 ms
2024-12-01 11:14:12.488 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.0437 ms
2024-12-01 11:14:16.481 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.0342 ms
2024-12-01 11:14:18.486 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.0352 ms
2024-12-01 11:14:22.474 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.0388 ms
2024-12-01 11:14:26.491 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.1231 ms
2024-12-01 11:14:28.487 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.0795 ms
2024-12-01 11:14:32.476 +07:00 [INF] HTTP GET /api/auth/admin/online-users responded 404 in 0.0587 ms
2024-12-01 11:14:39.873 +07:00 [INF] HTTP GET /ws responded 101 in 81862.1204 ms
2024-12-01 11:14:39.885 +07:00 [INF] HTTP GET /ws responded 101 in 67905.9628 ms
2024-12-01 11:14:39.902 +07:00 [INF] HTTP GET /ws responded 101 in 64326.0803 ms
2024-12-01 11:16:11.553 +07:00 [WRN] Failed to determine the https port for redirect.
2024-12-01 11:16:22.952 +07:00 [INF] HTTP GET /api/auth/online responded 200 in 124.6825 ms
2024-12-01 11:16:43.291 +07:00 [INF] HTTP GET /api/auth/online responded 200 in 7.9570 ms
2024-12-01 11:16:44.965 +07:00 [INF] HTTP GET /ws responded 101 in 18573.0185 ms
2024-12-01 11:16:58.276 +07:00 [INF] HTTP GET /ws responded 101 in 43732.5832 ms
